year_start,sex,births
0,female,151079
1,female,146403
2,female,147212
3,female,148677
4,female,149577
5,female,150263
6,female,150775
7,female,151387
8,female,152149
9,female,152885
10,female,153639
11,female,154451
12,female,155382
13,female,156490
14,female,157767
15,female,159185
16,female,160700
17,female,162271
18,female,163849
19,female,165367
20,female,166773
21,female,168018
22,female,169074
23,female,169946
24,female,170644
25,female,171174
26,female,171563
27,female,171840
28,female,172036
29,female,172176
30,female,172289
31,female,172400
32,female,172534
33,female,172708
34,female,172920
35,female,173175
36,female,173475
37,female,173816
38,female,174204
39,female,174650
40,female,175150
41,female,175709
42,female,176322
43,female,176989
44,female,177707
45,female,178473
46,female,179282
47,female,180121
48,female,180982
49,female,181852
50,female,182715
0,male,158917
1,male,154281
2,male,155308
3,male,156854
4,male,157803
5,male,158528
6,male,159068
7,male,159714
8,male,160517
9,male,161293
10,male,162089
11,male,162945
12,male,163929
13,male,165096
14,male,166445
15,male,167941
16,male,169538
17,male,171196
18,male,172861
19,male,174463
20,male,175945
21,male,177259
22,male,178374
23,male,179294
24,male,180030
25,male,180589
26,male,180998
27,male,181291
28,male,181497
29,male,181645
30,male,181764
31,male,181882
32,male,182024
33,male,182206
34,male,182431
35,male,182700
36,male,183016
37,male,183375
38,male,183786
39,male,184255
40,male,184784
41,male,185372
42,male,186019
43,male,186723
44,male,187480
45,male,188289
46,male,189142
47,male,190028
48,male,190936
49,male,191853
50,male,192764