agecategory,sex,strata,acmr,disability_rate
0,female,SES1,1.4506177020279376,1.8159767358664907
0,female,SES2,1.3217969020804223,1.5643456195679133
0,female,SES3,1.2044159173756954,1.3475818104540038
0,female,SES4,1.0974588454132097,1.1608539143466776
0,female,SES5,1.0,1.0
0,male,SES1,1.9408288646376621,1.0752619986739145
0,male,SES2,1.6443354958780076,1.0559314450179202
0,male,SES3,1.3931363410081807,1.0369484069489256
0,male,SES4,1.1803119676628633,1.0183066369954217
0,male,SES5,1.0,1.0
1,female,SES1,2.625893533226939,1.4010631058780463
1,female,SES2,2.062803384243078,1.2877847347969023
1,female,SES3,1.6204609014804827,1.1836651155956428
1,female,SES4,1.272973252460743,1.087963747371962
1,female,SES5,1.0,1.0
1,male,SES1,1.5872002278338446,1.3195058906769883
1,male,SES2,1.414079374778085,1.231142999732551
1,male,SES3,1.2598413502635342,1.1486974756988841
1,male,SES4,1.1224265455982116,1.0717730523291227
1,male,SES5,1.0,1.0
5,female,SES1,1.6927475234467413,1.3154506128322652
5,female,SES2,1.484034988702922,1.2283041260534182
5,female,SES3,1.3010563106363773,1.146930953820789
5,female,SES4,1.1406385538970603,1.0709486233339063
5,female,SES5,1.0,1.0
5,male,SES1,1.8524860184721987,1.2460872791412243
5,male,SES2,1.5878746089392386,1.179400606740626
5,male,SES3,1.3610606226293518,1.1162827953261771
5,male,SES4,1.1666450285452523,1.0565428506814938
5,male,SES5,1.0,1.0
10,female,SES1,1.9149223130283959,1.2646807588499738
10,female,SES2,1.6278461988234842,1.1925749516459803
10,female,SES3,1.3838071805813106,1.1245802589633047
10,female,SES4,1.1763533400221682,1.060462285497841
10,female,SES5,1.0,1.0
10,male,SES1,1.2975188429137328,1.2749568987877289
10,male,SES2,1.2157247412571182,1.1998352790036686
10,male,SES3,1.1390868460805492,1.1291398933647367
10,male,SES4,1.0672801160335317,1.062609944130365
10,male,SES5,1.0,1.0
15,female,SES1,2.294983523696312,1.304672452993189
15,female,SES2,1.864595702701658,1.2207482757980126
15,female,SES3,1.5149203027540135,1.1422225934524273
15,female,SES4,1.230820987290196,1.0687481431340256
15,female,SES5,1.0,1.0
15,male,SES1,2.026195954590323,1.352713983707703
15,male,SES2,1.698286991216983,1.2543088446853052
15,male,SES3,1.4234451006590747,1.1630623301043255
15,male,SES4,1.1930821852073206,1.0784536754558933
15,male,SES5,1.0,1.0
20,female,SES1,2.0817743907134316,1.2865068177824244
20,female,SES2,1.7331064807851195,1.2079781228861333
20,female,SES3,1.4428355383457367,1.1342428389822103
20,female,SES4,1.2011808932653467,1.0650083750760886
20,female,SES5,1.0,1.0
20,male,SES1,2.3332675472896844,1.3914942382179352
20,male,SES2,1.88787573924274,1.28118268111763
20,male,SES3,1.5275036979626875,1.1796161401989782
20,male,SES4,1.2359222054654926,1.0861013489536684
20,male,SES5,1.0,1.0
25,female,SES1,1.4942130254730963,1.4016053624820368
25,female,SES2,1.3514792697352325,1.2881585273812235
25,female,SES3,1.2223800658850323,1.183894151722204
25,female,SES4,1.1056129819629619,1.088069001360761
25,female,SES5,1.0,1.0
25,male,SES1,2.074141989191149,1.3005547387505019
25,male,SES2,1.728338732178256,1.2178575052405602
25,male,SES3,1.4401881783958472,1.1404186681874782
25,male,SES4,1.2000784051035362,1.0679038665476766
25,male,SES5,1.0,1.0
30,female,SES1,2.7203788886242637,1.4240332612501403
30,female,SES2,2.1182247926043294,1.303587237520067
30,female,SES3,1.6493571137337915,1.1933286476281963
30,female,SES4,1.2842729903465975,1.0923958291883928
30,female,SES5,1.0,1.0
30,male,SES1,2.467170748760601,1.4183446625799905
30,male,SES2,1.9685633961705387,1.2996796951756449
30,male,SES3,1.570723001920008,1.1909427620922806
30,male,SES4,1.2532848845813183,1.0913032402097413
30,male,SES5,1.0,1.0
35,female,SES1,2.5150832086672232,1.3587892694799362
35,female,SES2,1.9971664799292768,1.258531474936668
35,female,SES3,1.5859013868041176,1.1656711669591626
35,female,SES4,1.2593257667514461,1.079662524569211
35,female,SES5,1.0,1.0
35,male,SES1,2.491562609498566,1.4706288410619217
35,male,SES2,1.9831421885952523,1.3354490058366555
35,male,SES3,1.5784684379165035,1.212694867253062
35,male,SES4,1.2563711386037582,1.1012242583838507
35,male,SES5,1.0,1.0
40,female,SES1,2.6681460894573528,1.4810445659881728
40,female,SES2,2.0876476630718956,1.342536479697959
40,female,SES3,1.633446077915446,1.2169817443117923
40,female,SES4,1.2780634091919876,1.1031689554695565
40,female,SES5,1.0,1.0
40,male,SES1,2.627963888156784,1.4011494298211815
40,male,SES2,2.0640230589001054,1.2878442427160708
40,male,SES3,1.6210995923004803,1.1837015797155894
40,male,SES4,1.273224093512403,1.0879805052093485
40,male,SES5,1.0,1.0
45,female,SES1,2.575441054248287,1.42711849666712
45,female,SES2,2.0330062359168846,1.305704876943448
45,female,SES3,1.6048180751251173,1.1946206496905702
45,female,SES4,1.2668141438763294,1.0929870308885508
45,female,SES5,1.0,1.0
45,male,SES1,2.834171406607789,1.39015263751952
45,male,SES2,2.184336707812918,1.280256136059209
45,male,SES3,1.683499749512244,1.1790473432053183
45,male,SES4,1.297497494992666,1.0858394647485043
45,male,SES5,1.0,1.0
50,female,SES1,1.9436566414433882,1.3832136266369055
50,female,SES2,1.6461320095468759,1.2754602962824277
50,female,SES3,1.3941508675331333,1.1761010273938652
50,female,SES4,1.1807416599464648,1.0844819165822293
50,female,SES5,1.0,1.0
50,male,SES1,2.429574493100263,1.379192453822333
50,male,SES2,1.9460216366451748,1.2726783440559375
50,male,SES3,1.5587092394350728,1.1743902476699697
50,male,SES4,1.248482774985331,1.0836928751588106
50,male,SES5,1.0,1.0
55,female,SES1,2.1191367606805924,1.6656489481415164
55,female,SES2,1.756383056698794,1.466181063852368
55,female,SES3,1.455725510074132,1.2906002278558286
55,female,SES4,1.206534504303185,1.136045874010301
55,female,SES5,1.0,1.0
55,male,SES1,2.3431980760499065,1.5127708035051117
55,male,SES2,1.8938987245159657,1.3640486199384345
55,male,SES3,1.5307508210188576,1.2299474799783574
55,male,SES4,1.237235151868414,1.1090299725338164
55,male,SES5,1.0,1.0
60,female,SES1,1.7176096040814617,1.3667636685231381
60,female,SES2,1.5003526333107875,1.2640669291739153
60,female,SES3,1.3105760581063053,1.1690866813556375
60,female,SES4,1.144803938718899,1.0812431185240614
60,female,SES5,1.0,1.0
60,male,SES1,2.0468404017583675,1.2928322617305592
60,male,SES2,1.7112481260712804,1.2124298937263935
60,male,SES3,1.4306783012817268,1.13702781924215
60,male,SES4,1.1961096526998378,1.0663150656546827
60,male,SES5,1.0,1.0
65,female,SES1,1.6778832176230796,1.1947224291139305
65,female,SES2,1.4742505472265224,1.14274745498827
65,female,SES3,1.2953313157733353,1.0930335901123671
65,female,SES4,1.138126230157857,1.0454824676255299
65,female,SES5,1.0,1.0
65,male,SES1,1.8999588011272581,1.1657873667900394
65,male,SES2,1.618296660154853,1.1219267643346993
65,male,SES3,1.3783899307261565,1.0797163362615383
65,male,SES4,1.174048521453077,1.0390939977988218
65,male,SES5,1.0,1.0
70,female,SES1,1.634088576915639,1.3449368079828625
70,female,SES2,1.445295649990011,1.248896388050759
70,female,SES3,1.278314740944357,1.1597141061411913
70,female,SES4,1.1306258182724984,1.0769002303561788
70,female,SES5,1.0,1.0
70,male,SES1,1.740097946340361,1.16456886571787
70,male,SES2,1.5150615299754207,1.1210471564667506
70,male,SES3,1.3191277217693367,1.0791519196655635
70,male,SES4,1.1485328561993065,1.0388223715657856
70,male,SES5,1.0,1.0
75,female,SES1,1.434823537414375,1.1708531102315927
75,female,SES2,1.3109884614465843,1.1255811475336082
75,female,SES3,1.1978411987464677,1.0820596611239106
75,female,SES4,1.0944593179951767,1.0402209674506233
75,female,SES5,1.0,1.0
75,male,SES1,1.4929100454029973,1.2139997827432316
75,male,SES2,1.3505952880635148,1.1565487851700134
75,male,SES3,1.2218469811735828,1.1018165830768891
75,male,SES4,1.1053718746076286,1.0496745129214529
75,male,SES5,1.0,1.0
80,female,SES1,1.3219870541274599,1.218649341811762
80,female,SES2,1.2328788481328106,1.1598693406909761
80,female,SES3,1.1497769584260504,1.103924518167688
80,female,SES4,1.0722765307634268,1.0506781230080353
80,female,SES5,1.0,1.0
80,male,SES1,1.4209384875876347,1.1229483281070658
80,male,SES2,1.3014618986171618,1.0908620407475924
80,male,SES3,1.1920312443839862,1.059692563013946
80,male,SES4,1.09180183384348,1.0294136986721838
80,male,SES5,1.0,1.0
85,female,SES1,1.1081889182673468,1.19949550632977
85,female,SES2,1.0800910122979088,1.1461698205132862
85,female,SES3,1.0527055230535016,1.0952148220005835
85,female,SES4,1.0260143873520984,1.0465251177112678
85,female,SES5,1.0,1.0
85,male,SES1,1.1265325279704932,1.1044218270557697
85,male,SES2,1.0934723409875824,1.0773361575238056
85,male,SES3,1.0613823665251338,1.0509147572737618
85,male,SES4,1.0302341318967907,1.0251413352673677
85,male,SES5,1.0,1.0
